site;url;mode;qty;sizes;max_price;delay_sec;email;password;discount;first_name;last_name;phone;street;building_number;city;postal_code;state;country_code;card_number;card_exp;card_cvv
mediaexpert;https://www.mediaexpert.pl/example,id123;buy;1;;5000;3;guest@example.com;;;John;Doe;+48123456789;Marszalkowska;100;Warszawa;00-001;mazowieckie;PL;;;
empik;https://www.empik.com/example-product,p1234567890,prd;buy;1;;500;3;guest@example.com;;;John;Doe;+48123456789;Marszalkowska;100;Warszawa;00-001;mazowieckie;PL;;;
elbenwald;https://www.elbenwald.de/p/example;buy;1;M,L;200;3;guest@example.com;;;John;Doe;+491701234567;Hauptstrasse;10;Berlin;10115;BE;DE;;;
basketballemotion;https://www.basketballemotion.com/en/example;buy;1;42,43;300;3;guest@example.com;;;John;Doe;+34600123456;Calle Mayor;1;Madrid;28013;Madrid;ES;4111111111111111;12/30;123
futbolemotion;https://www.futbolemotion.com/es/example;buy;1;42,43;300;3;guest@example.com;;;John;Doe;+34600123456;Calle Mayor;1;Madrid;28013;Madrid;ES;4111111111111111;12/30;123
mycomics;https://www.mycomics.com/en/example;buy;1;;100;3;guest@example.com;;;John;Doe;+390612345678;Via Roma;1;Roma;00184;RM;IT;;;
fantasiastore;https://www.fantasiastore.it/example;buy;1;;200;3;guest@example.com;;;John;Doe;+390612345678;Via Roma;1;Roma;00184;RM;IT;;;
gamesisland;https://www.games-island.eu/example;buy;1;;200;3;guest@example.com;;;John;Doe;+491701234567;Hauptstrasse;10;Berlin;10115;BE;DE;;;
proshop;https://www.proshop.de/example;buy;1;;1000;3;guest@example.com;;;John;Doe;+491701234567;Hauptstrasse;10;Berlin;10115;BE;DE;;;
solebox;https://www.solebox.com/en/example.html;buy;1;42,43;300;3;guest@example.com;;;John;Doe;+491701234567;Hauptstrasse;10;Berlin;10115;BE;DE;4111111111111111;12/30;123
footshop;https://www.footshop.com/en/example;buy;1;42,43;300;3;guest@example.com;;;John;Doe;+420777123456;Vodickova;1;Praha;110 00;PR;CZ;;;
skatedeluxe;https://www.skatedeluxe.com/en/example;buy;1;42,43;200;3;guest@example.com;;;John;Doe;+491701234567;Hauptstrasse;10;Berlin;10115;BE;DE;;;
sportvision;https://www.sportvision.cz/example;buy;1;42,43;300;3;guest@example.com;;;John;Doe;+420777123456;Vodickova;1;Praha;110 00;PR;CZ;;;
sportsshoes;https://www.sportsshoes.com/product/example;buy;1;9,9.5,10;200;3;guest@example.com;;;John;Doe;+447700123456;High Street;1;London;SW1A 1AA;;GB;4111111111111111;12/30;123
skstore;https://www.skstore.pl/example;buy;1;42,43;300;3;guest@example.com;;;John;Doe;+48123456789;Marszalkowska;100;Warszawa;00-001;mazowieckie;PL;;;
zalando;https://www.zalando.de/example.html;buy;1;42,43;300;3;guest@example.com;;;John;Doe;+491701234567;Hauptstrasse;10;Berlin;10115;BE;DE;;;
queueit;https://www.example.com/?queueit=1;buy;1;;9999;3;guest@example.com;;;John;Doe;+48123456789;Marszalkowska;100;Warszawa;00-001;mazowieckie;PL;;;
