site;url;mode;qty;sizes;max_price;delay_sec;email;password;discount;first_name;last_name;phone;street;building_number;city;postal_code;state;country_code;card_number;card_exp;card_cvv
empik;;register;1;;0;0;new@example.com;NewP4ss;;John;Doe;+48123456789;Marszalkowska;100;Warszawa;00-001;mazowieckie;PL;;;
elbenwald;;register;1;;0;0;new@example.com;NewP4ss;;John;Doe;+491701234567;Hauptstrasse;10;Berlin;10115;BE;DE;;;
basketballemotion;;register;1;;0;0;new@example.com;NewP4ss;;John;Doe;+34600123456;Calle Mayor;1;Madrid;28013;Madrid;ES;;;
futbolemotion;;register;1;;0;0;new@example.com;NewP4ss;;John;Doe;+34600123456;Calle Mayor;1;Madrid;28013;Madrid;ES;;;
fantasiastore;;register;1;;0;0;new@example.com;NewP4ss;;John;Doe;+390612345678;Via Roma;1;Roma;00184;RM;IT;;;
gamesisland;;register;1;;0;0;new@example.com;NewP4ss;;John;Doe;+491701234567;Hauptstrasse;10;Berlin;10115;BE;DE;;;
proshop;;register;1;;0;0;new@example.com;NewP4ss;;John;Doe;+491701234567;Hauptstrasse;10;Berlin;10115;BE;DE;;;
solebox;;register;1;;0;0;new@example.com;NewP4ss;;John;Doe;+491701234567;Hauptstrasse;10;Berlin;10115;BE;DE;;;
footshop;;register;1;;0;0;new@example.com;NewP4ss;;John;Doe;+420777123456;Vodickova;1;Praha;110 00;PR;CZ;;;
skatedeluxe;;register;1;;0;0;new@example.com;NewP4ss;;John;Doe;+491701234567;Hauptstrasse;10;Berlin;10115;BE;DE;;;
sportsshoes;;register;1;;0;0;new@example.com;NewP4ss;;John;Doe;+447700123456;High Street;1;London;SW1A 1AA;;GB;;;
